Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_49_0 cdh10a  have too few sites, skip
Group_1955_1 epc1a  have too few sites, skip
Group_1212_3 ptchd1  have too few sites, skip
Group_7728_0 smpx  have too few sites, skip
Group_1404_0 map3k15  have too few sites, skip
Group_57_36 tmtopsb  have too few sites, skip
Group_9337_0 myeov2  have too few sites, skip
Group_677_0 tfap2a  have too few sites, skip
Group_605_2 plcxd2  have too few sites, skip
Group_2922_0 tmem56a  have too few sites, skip
Group_8063_0 dap  have too few sites, skip
Group_3805_0 ropn1l  have too few sites, skip
Group_179_9 mtmr6  have too few sites, skip
Group_233_7 loc107382995  have too few sites, skip
Group_6058_0 pex2  have too few sites, skip
Group_4877_0 tpk1  have too few sites, skip
Group_6673_0 c8g  have too few sites, skip
Group_6445_0 armc3  have too few sites, skip
Group_860_0 pip4k2aa  have too few sites, skip
Group_6647_0 commd3  have too few sites, skip
Group_944_0 si:ch211-217a12.1  have too few sites, skip
Group_27_34 foxh1  have too few sites, skip
Group_856_0 zdhhc20b  have too few sites, skip
Group_583_5 pdk3a  have too few sites, skip
Group_1528_2 pcyt1ba  have too few sites, skip
Group_8808_0 si:dkey-12l12.1  have too few sites, skip
Group_8377_0 prlh2  have too few sites, skip
Group_8108_0 si:dkey-118j18.2  have too few sites, skip
Group_47_26 sema5a  have too few sites, skip
Group_730_2 cbln2b  have too few sites, skip
Group_2458_0 dok6  have too few sites, skip
Group_844_0 jph1a  have too few sites, skip
Group_6304_0 tceb1a  have too few sites, skip
Group_58_9 ube2w  have too few sites, skip
Group_835_0 rdh10a  have too few sites, skip
Group_2521_1 rpl7  have too few sites, skip
Group_2648_0 msc  have too few sites, skip
Group_9692_0 unknown  have too few sites, skip
Group_1008_0 eya1  have too few sites, skip
Group_6014_0 cops5  have too few sites, skip
Group_3401_1 tcf24  have too few sites, skip
Group_6_23 sgk3  have too few sites, skip
Group_7246_0 rrs1  have too few sites, skip
Group_3507_0 crhb  have too few sites, skip
Group_790_0 trim55b  have too few sites, skip
Group_108_12 pde7a  have too few sites, skip
Group_4314_0 mtfr1  have too few sites, skip
Group_1613_0 armc1  have too few sites, skip
Group_2431_1 bhlhe22  have too few sites, skip
Group_1106_3 ythdf3  have too few sites, skip
Group_3811_0 abhd10b  have too few sites, skip
Group_516_0 tagln3b  have too few sites, skip
Group_26_37 flt3  have too few sites, skip
Group_7616_0 si:ch211-140b10.6  have too few sites, skip
Group_364_0 lnx2a  have too few sites, skip
Group_4933_0 rpl21  have too few sites, skip
Group_2319_1 rnf13  have too few sites, skip
Group_6480_0 ppp1r2  have too few sites, skip
Group_4933_1 rpl21  have too few sites, skip
Group_277_5 usp12a  have too few sites, skip
Group_19_31 cdk8  have too few sites, skip
Group_2121_0 shisa2  have too few sites, skip
Group_6543_0 naa50  have too few sites, skip
Group_2538_0 atp6v1a  have too few sites, skip
Group_24_10 drd3  have too few sites, skip
Group_5061_0 ccdc58  have too few sites, skip
Group_382_7 kpna1  have too few sites, skip
Group_2195_0 sec22c  have too few sites, skip
Group_0_86 zbtb47a  have too few sites, skip
Group_13_5 klhl40b  have too few sites, skip
Group_4248_1 gars  have too few sites, skip
Group_16_33 map3k20  have too few sites, skip
Group_5694_0 myd88  have too few sites, skip
Group_825_1 csrnp1b  have too few sites, skip
Group_1181_4 gorasp1b  have too few sites, skip
Group_2916_1 slc35g2b  have too few sites, skip
Group_421_2 bdh1  have too few sites, skip
Group_1694_0 gyg1b  have too few sites, skip
Group_2886_1 tgif1  have too few sites, skip
Group_40_8 mnx1  have too few sites, skip
Group_113_17 dnajb6b  have too few sites, skip
Group_602_2 esyt2b  have too few sites, skip
Group_7269_0 si:ch73-174h16.4  have too few sites, skip
Group_3840_1 zgc:112356  have too few sites, skip
Group_30_38 arl8  have too few sites, skip
Group_472_4 slc39a12  have too few sites, skip
Group_12_26 yes1  have too few sites, skip
Group_320_5 myl12.1  have too few sites, skip
Group_2466_1 chmp5b  have too few sites, skip
Group_3_85 oprk1  have too few sites, skip
Group_86_15 cu681855.1  have too few sites, skip
Group_7330_0 mrpl15  have too few sites, skip
Group_134_9 pou6f2  have too few sites, skip
Group_7151_0 otulina  have too few sites, skip
Group_4092_0 ankha  have too few sites, skip
Group_880_0 myc  have too few sites, skip
Group_1349_0 smarcd3b  have too few sites, skip
Group_1398_0 chpf2  have too few sites, skip
Group_1254_1 si:ch211-198h5.3  have too few sites, skip
Group_6938_0 si:ch73-173p19.1  have too few sites, skip
Group_3243_1 si:ch1073-406l10.2  have too few sites, skip
Group_815_0 scrib  have too few sites, skip
Group_2766_0 puf60  have too few sites, skip
Group_1637_1 nrbp2b  have too few sites, skip
Group_3_16 ccr9b  have too few sites, skip
Group_107_16 prpf4bb  have too few sites, skip
Group_4421_0 pxdc1b  have too few sites, skip
Group_3871_1 ccdc102a  have too few sites, skip
Group_2641_0 wdr45b  have too few sites, skip
Group_0_64 loc107374395  have too few sites, skip
Group_4462_1 txndc5  have too few sites, skip
Group_4462_0 txndc5  have too few sites, skip
Group_2602_1 pabpn1  have too few sites, skip
Group_843_2 ramp3  have too few sites, skip
Group_85_1 mmp16  have too few sites, skip
Group_758_1 fbxo45  have too few sites, skip
