Loading gene coordinates...
Loading synonymous sites...
Loading non-synonymous sites...
Loading polymorphic sites...
Loading divergent sites...
Computing...
Group_1438_0 mdga2  have too few sites, skip
Group_1535_0 mettl2a  have too few sites, skip
Group_226_5 itgb3a  have too few sites, skip
Group_504_0 ppp2r5cb  have too few sites, skip
Group_1016_0 dio3  have too few sites, skip
Group_5109_0 rps29  have too few sites, skip
Group_2995_1 mgat2  have too few sites, skip
Group_1685_1 wdr20b  have too few sites, skip
Group_659_4 hsp90aa1.1  have too few sites, skip
Group_1719_0 chac1  have too few sites, skip
Group_43_27 ino80  have too few sites, skip
Group_5057_0 pigh  have too few sites, skip
Group_5057_1 pigh  have too few sites, skip
Group_1565_0 zfyve1  have too few sites, skip
Group_5060_0 dcaf4l2  have too few sites, skip
Group_768_3 dpf3  have too few sites, skip
Group_2114_2 stx7l  have too few sites, skip
Group_281_6 ctgfa  have too few sites, skip
Group_7064_0 chga  have too few sites, skip
Group_1982_1 si:dkey-177p2.18  have too few sites, skip
Group_1816_2 tmem200a  have too few sites, skip
Group_5597_0 rnf217  have too few sites, skip
Group_6599_0 hddc2  have too few sites, skip
Group_8407_0 loc107378023  have too few sites, skip
Group_624_0 soga3b  have too few sites, skip
Group_311_7 elovl4b  have too few sites, skip
Group_461_1 fam46ab  have too few sites, skip
Group_1091_1 prss35  have too few sites, skip
Group_5663_0 ccnc  have too few sites, skip
Group_134_5 pou3f2a  have too few sites, skip
Group_7380_0 mrps18a  have too few sites, skip
Group_1283_0 vegfab  have too few sites, skip
Group_2233_0 naga  have too few sites, skip
Group_3140_1 wdr26b  have too few sites, skip
Group_1652_0 si:ch211-57i17.1  have too few sites, skip
Group_5246_1 si:ch211-57i17.5  have too few sites, skip
